Circuit Size,Iterations,Width Distribution
56,2,"[14, 18, 20, 15, 18, 21, 20, 17, 16, 15, 19, 23, 16, 18, 23, 16, 19, 16, 16, 17, 19, 15, 19, 17, 16, 25, 16, 18, 15, 16]"
64,64,"[18, 17, 18, 18, 16, 18, 17, 16, 17, 18, 18, 18, 18, 17, 17, 18, 17, 17, 17, 18, 18, 18, 17, 18, 17, 17, 18, 18, 17, 17]"
64,32,"[18, 18, 18, 18, 17, 18, 18, 18, 17, 18, 18, 19, 17, 17, 18, 18, 17, 17, 18, 17, 18, 18, 18, 18, 18, 18, 18, 18, 18, 17]"
64,16,"[20, 17, 19, 18, 18, 18, 20, 18, 18, 18, 18, 18, 18, 19, 17, 16, 18, 17, 18, 18, 18, 18, 18, 18, 17, 18, 18, 18, 17, 18]"
64,4,"[19, 19, 18, 18, 20, 18, 18, 17, 19, 18, 22, 21, 18, 21, 18, 17, 23, 18, 18, 17, 22, 18, 20, 18, 17, 20, 19, 21, 21, 18]"
64,3,"[18, 18, 19, 22, 22, 21, 18, 21, 18, 18, 19, 22, 21, 19, 20, 19, 20, 21, 21, 18, 20, 20, 18, 22, 22, 19, 20, 21, 17, 18]"
64,2,"[19, 18, 17, 22, 20, 21, 26, 19, 17, 19, 19, 18, 23, 20, 22, 19, 19, 21, 19, 21, 21, 21, 18, 22, 22, 21, 21, 20, 23, 19]"
72,72,"[17, 18, 17, 18, 18, 17, 18, 18, 18, 18, 18, 18, 18, 17, 18, 17, 18, 18, 17, 18, 18, 17, 17, 17, 17, 17, 19, 18, 17, 17]"
72,36,"[17, 17, 18, 19, 18, 17, 17, 17, 18, 17, 18, 18, 19, 18, 18, 18, 17, 17, 18, 17, 18, 18, 17, 18, 18, 18, 18, 18, 18, 17]"
72,18,"[19, 17, 18, 19, 19, 17, 18, 18, 18, 17, 18, 19, 18, 19, 23, 19, 17, 18, 18, 17, 18, 18, 18, 18, 18, 17, 18, 17, 17, 19]"
72,4,"[20, 19, 19, 22, 22, 23, 22, 21, 20, 18, 19, 18, 28, 17, 22, 19, 19, 17, 23, 20, 22, 18, 19, 18, 18, 25, 19, 22, 21, 21]"
72,3,"[28, 17, 22, 21, 25, 19, 21, 19, 20, 22, 27, 26, 18, 19, 21, 22, 19, 19, 24, 19, 24, 19, 21, 19, 22, 19, 19, 20, 18, 19]"
72,2,"[18, 18, 20, 17, 28, 28, 26, 17, 26, 20, 19, 25, 29, 24, 20, 27, 19, 18, 26, 24, 21, 28, 18, 24, 25, 23, 17, 21, 26, 18]"
81,81,"[19, 19, 19, 19, 19, 17, 18, 18, 19, 17, 18, 18, 20, 19, 19, 19, 19, 19, 17, 19, 19, 18, 18, 19, 18, 18, 18, 18, 19, 19]"
81,40,"[19, 19, 20, 19, 18, 18, 18, 18, 18, 19, 20, 19, 17, 19, 20, 18, 20, 19, 20, 20, 19, 20, 20, 19, 20, 19, 19, 18, 20, 19]"
81,20,"[19, 19, 19, 20, 19, 19, 19, 19, 19, 19, 20, 19, 19, 19, 19, 19, 19, 19, 18, 20, 19, 19, 21, 19, 19, 19, 20, 22, 19, 19]"
